time,sea_water_practical_salinity,sea_water_practical_salinity_qc_agg,z
UTC,1e-3,,m
2006-07-18T00:45:00Z,36.698,2,0.0
2006-07-18T01:45:00Z,36.691,2,0.0
2006-07-18T02:45:00Z,36.683,2,0.0
2006-07-18T03:45:00Z,36.676,2,0.0
2006-07-18T04:45:00Z,36.668,2,0.0
2006-07-18T05:45:00Z,36.67,2,0.0
2006-07-18T06:45:00Z,36.673,2,0.0
2006-07-18T09:16:00Z,36.68,2,0.0
2006-07-18T12:16:00Z,36.679,2,0.0
2006-07-18T15:16:00Z,36.693,2,0.0
2006-07-18T18:16:00Z,36.67,2,0.0
2006-07-18T21:16:00Z,36.68,2,0.0
2006-07-19T00:16:00Z,36.691,2,0.0
2006-07-19T03:16:00Z,36.693,2,0.0
2006-07-19T06:16:00Z,36.677,2,0.0
2006-07-19T09:16:00Z,36.682,2,0.0
2006-07-19T12:16:00Z,36.691,2,0.0
2006-07-19T15:16:00Z,36.697,2,0.0
2006-07-19T18:16:00Z,36.74,2,0.0
2006-07-19T21:16:00Z,36.671,2,0.0
2006-07-20T00:16:00Z,36.702,2,0.0
2006-07-20T03:16:00Z,36.709,2,0.0
2006-07-20T06:16:00Z,36.695,2,0.0
2006-07-20T09:16:00Z,36.688,2,0.0
2006-07-20T12:16:00Z,36.708,2,0.0
2006-07-20T15:16:00Z,36.716,2,0.0
2006-07-20T18:16:00Z,36.726,2,0.0
2006-07-20T21:16:00Z,36.683,2,0.0
2006-07-21T00:16:00Z,36.717,2,0.0
2006-07-21T03:16:00Z,36.725,2,0.0
2006-07-21T06:16:00Z,36.726,2,0.0
2006-07-21T09:16:00Z,36.712,2,0.0
2006-07-21T12:16:00Z,36.727,2,0.0
2006-07-21T15:16:00Z,36.73,2,0.0
2006-07-21T18:16:00Z,36.757,2,0.0
2006-07-21T21:16:00Z,36.728,2,0.0
2006-07-22T00:16:00Z,36.722,2,0.0
2006-07-22T03:16:00Z,36.722,2,0.0
2006-07-22T06:16:00Z,36.719,2,0.0
2006-07-22T09:16:00Z,36.703,2,0.0
2006-07-22T12:16:00Z,36.698,2,0.0
2006-07-22T15:16:00Z,36.708,2,0.0
2006-07-22T18:16:00Z,36.715,2,0.0
2006-07-22T21:16:00Z,36.681,2,0.0
2006-07-23T00:16:00Z,36.677,2,0.0
2006-07-23T03:16:00Z,36.636,2,0.0
2006-07-23T06:16:00Z,36.622,2,0.0
2006-07-23T09:16:00Z,36.642,2,0.0
2006-07-23T12:16:00Z,36.621,2,0.0
2006-07-23T15:16:00Z,36.596,2,0.0
2006-07-23T18:16:00Z,36.598,2,0.0
2006-07-23T21:16:00Z,36.578,2,0.0
2006-07-24T00:16:00Z,36.558,2,0.0
2006-07-24T03:16:00Z,36.545,2,0.0
2006-07-24T06:16:00Z,36.52,2,0.0
2006-07-24T09:16:00Z,36.533,2,0.0
2006-07-24T12:16:00Z,36.526,2,0.0
2006-07-24T15:16:00Z,36.504,2,0.0
2006-07-24T18:16:00Z,36.502,2,0.0
2006-07-24T21:16:00Z,36.494,2,0.0
2006-07-25T00:16:00Z,36.502,2,0.0
2006-07-25T03:16:00Z,36.488,2,0.0
2006-07-25T09:16:00Z,36.498,2,0.0
2006-07-25T12:16:00Z,36.517,2,0.0
2006-07-25T15:16:00Z,36.51,2,0.0
2006-07-25T18:16:00Z,36.491,2,0.0
2006-07-25T21:16:00Z,36.504,2,0.0
2006-07-26T00:16:00Z,36.527,2,0.0
2006-07-26T03:16:00Z,36.476,2,0.0
2006-07-26T06:16:00Z,36.431,2,0.0
2006-07-26T09:16:00Z,36.438,2,0.0
2006-07-26T12:16:00Z,36.49,2,0.0
2006-07-26T15:16:00Z,36.472,2,0.0
2006-07-26T18:16:00Z,36.428,2,0.0
