time,sea_water_temperature,sea_water_temperature_qc_agg,z
UTC,degree_Celsius,,m
2006-07-18T00:45:00Z,29.128,2,0.0
2006-07-18T01:45:00Z,29.084,2,0.0
2006-07-18T02:45:00Z,29.047,2,0.0
2006-07-18T03:45:00Z,28.983,2,0.0
2006-07-18T04:45:00Z,28.92,2,0.0
2006-07-18T05:45:00Z,28.866,2,0.0
2006-07-18T06:45:00Z,28.847,2,0.0
2006-07-18T09:16:00Z,28.883,2,0.0
2006-07-18T12:16:00Z,28.981,2,0.0
2006-07-18T15:16:00Z,29.093,2,0.0
2006-07-18T18:16:00Z,29.093,2,0.0
2006-07-18T21:16:00Z,29.243,2,0.0
2006-07-19T00:16:00Z,29.311,2,0.0
2006-07-19T03:16:00Z,29.146,2,0.0
2006-07-19T06:16:00Z,29.0,2,0.0
2006-07-19T09:16:00Z,29.021,2,0.0
2006-07-19T12:16:00Z,29.04,2,0.0
2006-07-19T15:16:00Z,29.149,2,0.0
2006-07-19T18:16:00Z,29.543,2,0.0
2006-07-19T21:16:00Z,29.487,2,0.0
2006-07-20T00:16:00Z,29.364,2,0.0
2006-07-20T03:16:00Z,29.273,2,0.0
2006-07-20T06:16:00Z,29.15,2,0.0
2006-07-20T09:16:00Z,29.115,2,0.0
2006-07-20T12:16:00Z,29.182,2,0.0
2006-07-20T15:16:00Z,29.342,2,0.0
2006-07-20T18:16:00Z,29.53,2,0.0
2006-07-20T21:16:00Z,29.43,2,0.0
2006-07-21T00:16:00Z,29.412,2,0.0
2006-07-21T03:16:00Z,29.385,2,0.0
2006-07-21T06:16:00Z,29.318,2,0.0
2006-07-21T09:16:00Z,29.225,2,0.0
2006-07-21T12:16:00Z,29.253,2,0.0
2006-07-21T15:16:00Z,29.452,2,0.0
2006-07-21T18:16:00Z,29.701,2,0.0
2006-07-21T21:16:00Z,29.665,2,0.0
2006-07-22T00:16:00Z,29.445,2,0.0
2006-07-22T03:16:00Z,29.431,2,0.0
2006-07-22T06:16:00Z,29.372,2,0.0
2006-07-22T09:16:00Z,29.254,2,0.0
2006-07-22T12:16:00Z,29.257,2,0.0
2006-07-22T15:16:00Z,29.394,2,0.0
2006-07-22T18:16:00Z,29.685,2,0.0
2006-07-22T21:16:00Z,29.514,2,0.0
2006-07-23T00:16:00Z,29.435,2,0.0
2006-07-23T03:16:00Z,29.45,2,0.0
2006-07-23T06:16:00Z,29.413,2,0.0
2006-07-23T09:16:00Z,29.354,2,0.0
2006-07-23T12:16:00Z,29.309,2,0.0
2006-07-23T15:16:00Z,29.43,2,0.0
2006-07-23T18:16:00Z,29.577,2,0.0
2006-07-23T21:16:00Z,29.477,2,0.0
2006-07-24T00:16:00Z,29.374,2,0.0
2006-07-24T03:16:00Z,29.361,2,0.0
2006-07-24T06:16:00Z,29.336,2,0.0
2006-07-24T09:16:00Z,29.271,2,0.0
2006-07-24T12:16:00Z,29.27,2,0.0
2006-07-24T15:16:00Z,29.406,2,0.0
2006-07-24T18:16:00Z,29.817,2,0.0
2006-07-24T21:16:00Z,29.619,2,0.0
2006-07-25T00:16:00Z,29.431,2,0.0
2006-07-25T03:16:00Z,29.439,2,0.0
2006-07-25T09:16:00Z,29.409,2,0.0
2006-07-25T12:16:00Z,29.321,2,0.0
2006-07-25T15:16:00Z,29.425,2,0.0
2006-07-25T18:16:00Z,29.719,2,0.0
2006-07-25T21:16:00Z,30.038,2,0.0
2006-07-26T00:16:00Z,29.612,2,0.0
2006-07-26T03:16:00Z,29.504,2,0.0
2006-07-26T06:16:00Z,29.443,2,0.0
2006-07-26T09:16:00Z,29.391,2,0.0
2006-07-26T12:16:00Z,29.366,2,0.0
2006-07-26T15:16:00Z,29.394,2,0.0
2006-07-26T18:16:00Z,29.564,2,0.0
2006-07-26T21:16:00Z,29.678,2,0.0
2006-07-27T00:16:00Z,29.706,2,0.0
2006-07-27T03:16:00Z,29.435,2,0.0
2006-07-27T06:16:00Z,29.408,2,0.0
2006-07-27T09:16:00Z,29.368,2,0.0
2006-07-27T12:16:00Z,29.344,2,0.0
