time,pco2_in_sea_water,pco2_in_sea_water_qc_agg,z
UTC,microatm,,m
2007-06-26T21:13:00Z,390.9,2,0.0
2007-06-26T21:43:00Z,390.7,2,0.0
2007-06-26T22:13:00Z,385.6,2,0.0
2007-06-26T22:43:00Z,392.7,2,0.0
2007-06-26T23:13:00Z,393.0,2,0.0
2007-06-26T23:43:00Z,394.4,2,0.0
2007-06-27T00:13:00Z,393.6,2,0.0
2007-06-27T00:43:00Z,387.9,2,0.0
2007-06-27T01:13:00Z,383.8,2,0.0
2007-06-27T01:43:00Z,383.4,2,0.0
2007-06-27T02:13:00Z,382.2,2,0.0
2007-06-27T02:43:00Z,380.7,2,0.0
2007-06-27T03:13:00Z,380.3,2,0.0
2007-06-27T03:43:00Z,379.7,2,0.0
2007-06-27T04:13:00Z,377.4,2,0.0
2007-06-27T04:43:00Z,377.8,2,0.0
2007-06-27T05:13:00Z,377.7,2,0.0
2007-06-27T05:43:00Z,377.7,2,0.0
2007-06-27T06:13:00Z,380.5,2,0.0
2007-06-27T06:43:00Z,383.0,2,0.0
2007-06-27T07:13:00Z,385.8,2,0.0
2007-06-27T09:16:00Z,397.1,2,0.0
2007-06-27T12:16:00Z,398.6,2,0.0
2007-06-27T15:16:00Z,379.4,2,0.0
2007-06-27T18:16:00Z,384.8,2,0.0
2007-06-27T21:16:00Z,413.3,2,0.0
2007-06-28T00:16:00Z,408.3,2,0.0
2007-06-28T03:16:00Z,380.7,2,0.0
2007-06-28T06:16:00Z,371.0,2,0.0
2007-06-28T09:16:00Z,390.7,2,0.0
2007-06-28T12:16:00Z,393.4,2,0.0
2007-06-28T15:16:00Z,374.7,2,0.0
2007-06-28T18:16:00Z,381.7,2,0.0
2007-06-28T21:16:00Z,381.8,2,0.0
2007-06-29T00:16:00Z,383.3,2,0.0
2007-06-29T03:16:00Z,381.9,2,0.0
2007-06-29T06:16:00Z,390.2,2,0.0
2007-06-29T09:16:00Z,401.8,2,0.0
2007-06-29T12:16:00Z,407.1,2,0.0
2007-06-29T15:16:00Z,391.9,2,0.0
2007-06-29T18:16:00Z,388.1,2,0.0
2007-06-29T21:16:00Z,395.9,2,0.0
2007-06-30T00:16:00Z,402.4,2,0.0
2007-06-30T03:16:00Z,400.9,2,0.0
2007-06-30T06:16:00Z,393.1,2,0.0
2007-06-30T09:16:00Z,397.5,2,0.0
2007-06-30T12:16:00Z,400.8,2,0.0
2007-06-30T15:16:00Z,411.3,2,0.0
2007-06-30T18:16:00Z,408.0,2,0.0
2007-06-30T21:16:00Z,406.2,2,0.0
